Файлы с максимумом в m=0 (всего: 369)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
230  gem_glass64_J-88_9.dat  key=-88.0  Fr=12.0    N=5
231  gem_glass64_J-8_0.dat  key=-80.0  Fr=16.0    N=17
232  gem_glass64_J-8_1.dat  key=-90.0  Fr=11.0    N=3
233  gem_glass64_J-8_2.dat  key=-80.0  Fr=16.0    N=21
234  gem_glass64_J-8_4.dat  key=-78.0  Fr=17.0    N=15
235  gem_glass64_J-8_5.dat  key=-80.0  Fr=16.0    N=9
236  gem_glass64_J-90_2.dat  key=-96.0  Fr=8.0     N=3
237  gem_glass64_J-90_5.dat  key=-94.0  Fr=9.0     N=3
238  gem_glass64_J-90_6.dat  key=-92.0  Fr=10.0    N=5
239  gem_glass64_J-90_8.dat  key=-96.0  Fr=8.0     N=3
240  gem_glass64_J-90_9.dat  key=-94.0  Fr=9.0     N=5
241  gem_glass64_J-92_3.dat  key=-96.0  Fr=8.0     N=5
242  gem_glass64_J-92_6.dat  key=-92.0  Fr=10.0    N=5
243  gem_glass64_J-92_7.dat  key=-92.0  Fr=10.0    N=5
244  gem_glass64_J-92_8.dat  key=-94.0  Fr=9.0     N=3
245  gem_glass64_J-94_1.dat  key=-94.0  Fr=9.0     N=7
246  gem_glass64_J-94_2.dat  key=-98.0  Fr=7.0     N=3
247  gem_glass64_J-94_3.dat  key=-94.0  Fr=9.0     N=5
248  gem_glass64_J-94_4.dat  key=-96.0  Fr=8.0     N=5
249  gem_glass64_J-94_6.dat  key=-94.0  Fr=9.0     N=3
250  gem_glass64_J-94_7.dat  key=-98.0  Fr=7.0     N=3
251  gem_glass64_J-94_8.dat  key=-98.0  Fr=7.0     N=3
252  gem_glass64_J-94_9.dat  key=-96.0  Fr=8.0     N=3
253  gem_glass64_J-96_0.dat  key=-96.0  Fr=8.0     N=3
254  gem_glass64_J-96_2.dat  key=-96.0  Fr=8.0     N=3
255  gem_glass64_J-96_3.dat  key=-96.0  Fr=8.0     N=5
256  gem_glass64_J-96_5.dat  key=-96.0  Fr=8.0     N=3
257  gem_glass64_J-96_6.dat  key=-96.0  Fr=8.0     N=3
258  gem_glass64_J-96_9.dat  key=-96.0  Fr=8.0     N=5
259  gem_glass64_J-98_0.dat  key=-98.0  Fr=7.0     N=3
260  gem_glass64_J-98_2.dat  key=-98.0  Fr=7.0     N=3
261  gem_glass64_J-98_4.dat  key=-98.0  Fr=7.0     N=3
262  gem_glass64_J-98_6.dat  key=-98.0  Fr=7.0     N=3
263  gem_glass64_J-98_7.dat  key=-98.0  Fr=7.0     N=3
264  gem_glass64_J0_9.dat  key=-82.0  Fr=15.0    N=15
265  gem_glass64_J10_3.dat  key=-86.0  Fr=13.0    N=13
266  gem_glass64_J10_5.dat  key=-84.0  Fr=14.0    N=3
267  gem_glass64_J10_6.dat  key=-82.0  Fr=15.0    N=15
268  gem_glass64_J10_8.dat  key=-80.0  Fr=16.0    N=27
269  gem_glass64_J10_9.dat  key=-78.0  Fr=17.0    N=17
270  gem_glass64_J12_4.dat  key=-84.0  Fr=14.0    N=17
271  gem_glass64_J12_8.dat  key=-80.0  Fr=16.0    N=13
272  gem_glass64_J14_1.dat  key=-84.0  Fr=14.0    N=5
273  gem_glass64_J14_2.dat  key=-82.0  Fr=15.0    N=15
274  gem_glass64_J14_6.dat  key=-78.0  Fr=17.0    N=11
275  gem_glass64_J16_1.dat  key=-78.0  Fr=17.0    N=15
276  gem_glass64_J16_4.dat  key=-78.0  Fr=17.0    N=15
277  gem_glass64_J16_5.dat  key=-82.0  Fr=15.0    N=23
278  gem_glass64_J16_6.dat  key=-86.0  Fr=13.0    N=5
279  gem_glass64_J16_9.dat  key=-74.0  Fr=19.0    N=25
280  gem_glass64_J18_2.dat  key=-82.0  Fr=15.0    N=7
281  gem_glass64_J18_4.dat  key=-86.0  Fr=13.0    N=17
282  gem_glass64_J20_4.dat  key=-78.0  Fr=17.0    N=11
283  gem_glass64_J20_6.dat  key=-78.0  Fr=17.0    N=15
284  gem_glass64_J20_7.dat  key=-80.0  Fr=16.0    N=9
285  gem_glass64_J22_0.dat  key=-82.0  Fr=15.0    N=9
286  gem_glass64_J22_2.dat  key=-80.0  Fr=16.0    N=23
287  gem_glass64_J22_9.dat  key=-78.0  Fr=17.0    N=11
288  gem_glass64_J24_0.dat  key=-88.0  Fr=12.0    N=15
289  gem_glass64_J24_2.dat  key=-78.0  Fr=17.0    N=15
290  gem_glass64_J24_3.dat  key=-84.0  Fr=14.0    N=7
291  gem_glass64_J24_4.dat  key=-82.0  Fr=15.0    N=9
292  gem_glass64_J24_7.dat  key=-76.0  Fr=18.0    N=19
293  gem_glass64_J24_9.dat  key=-76.0  Fr=18.0    N=27
294  gem_glass64_J26_2.dat  key=-78.0  Fr=17.0    N=31
295  gem_glass64_J26_4.dat  key=-82.0  Fr=15.0    N=13
296  gem_glass64_J28_0.dat  key=-76.0  Fr=18.0    N=21
297  gem_glass64_J28_1.dat  key=-80.0  Fr=16.0    N=15
298  gem_glass64_J28_2.dat  key=-82.0  Fr=15.0    N=13
299  gem_glass64_J28_3.dat  key=-76.0  Fr=18.0    N=27
300  gem_glass64_J28_4.dat  key=-76.0  Fr=18.0    N=19
301  gem_glass64_J28_6.dat  key=-76.0  Fr=18.0    N=31
302  gem_glass64_J28_7.dat  key=-80.0  Fr=16.0    N=33
303  gem_glass64_J28_9.dat  key=-82.0  Fr=15.0    N=17
304  gem_glass64_J2_0.dat  key=-86.0  Fr=13.0    N=7
305  gem_glass64_J2_2.dat  key=-80.0  Fr=16.0    N=9
306  gem_glass64_J2_4.dat  key=-82.0  Fr=15.0    N=9
307  gem_glass64_J2_6.dat  key=-78.0  Fr=17.0    N=17
308  gem_glass64_J2_7.dat  key=-82.0  Fr=15.0    N=27
309  gem_glass64_J2_9.dat  key=-82.0  Fr=15.0    N=9
310  gem_glass64_J30_0.dat  key=-78.0  Fr=17.0    N=19
311  gem_glass64_J30_1.dat  key=-84.0  Fr=14.0    N=23
312  gem_glass64_J32_3.dat  key=-78.0  Fr=17.0    N=17
313  gem_glass64_J32_6.dat  key=-76.0  Fr=18.0    N=35
314  gem_glass64_J32_8.dat  key=-82.0  Fr=15.0    N=29
315  gem_glass64_J34_2.dat  key=-80.0  Fr=16.0    N=9
