Файлы с максимумом НЕ в m=0 (всего: 637)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек    m(max)    
197  gem_glass64_J-80_6.dat  key=-84.0  Fr=14.0    N=11      m=-2.000
198  gem_glass64_J-80_7.dat  key=-92.0  Fr=10.0    N=5       m=-2.000
199  gem_glass64_J-82_3.dat  key=-92.0  Fr=10.0    N=5       m=-2.000
200  gem_glass64_J-82_5.dat  key=-92.0  Fr=10.0    N=8       m=-8.000
201  gem_glass64_J-84_0.dat  key=-88.0  Fr=12.0    N=11      m=-4.000
202  gem_glass64_J-84_3.dat  key=-92.0  Fr=10.0    N=5       m=-2.000
203  gem_glass64_J-84_7.dat  key=-88.0  Fr=12.0    N=4       m=-4.000
204  gem_glass64_J-84_9.dat  key=-88.0  Fr=12.0    N=10      m=-6.000
205  gem_glass64_J-86_1.dat  key=-92.0  Fr=10.0    N=4       m=-4.000
206  gem_glass64_J-86_7.dat  key=-86.0  Fr=13.0    N=9       m=-4.000
207  gem_glass64_J-86_8.dat  key=-90.0  Fr=11.0    N=4       m=-6.000
208  gem_glass64_J-88_6.dat  key=-90.0  Fr=11.0    N=8       m=-6.000
209  gem_glass64_J-88_8.dat  key=-88.0  Fr=12.0    N=5       m=-2.000
210  gem_glass64_J-8_3.dat  key=-84.0  Fr=14.0    N=13      m=-6.000
211  gem_glass64_J-8_6.dat  key=-82.0  Fr=15.0    N=9       m=-6.000
212  gem_glass64_J-8_7.dat  key=-84.0  Fr=14.0    N=15      m=-4.000
213  gem_glass64_J-8_8.dat  key=-82.0  Fr=15.0    N=9       m=-6.000
214  gem_glass64_J-8_9.dat  key=-88.0  Fr=12.0    N=6       m=-6.000
215  gem_glass64_J-90_0.dat  key=-90.0  Fr=11.0    N=7       m=-4.000
216  gem_glass64_J-90_1.dat  key=-92.0  Fr=10.0    N=4       m=-4.000
217  gem_glass64_J-90_3.dat  key=-92.0  Fr=10.0    N=5       m=-2.000
218  gem_glass64_J-90_4.dat  key=-92.0  Fr=10.0    N=5       m=-4.000
219  gem_glass64_J-90_7.dat  key=-96.0  Fr=8.0     N=4       m=-4.000
220  gem_glass64_J-92_0.dat  key=-96.0  Fr=8.0     N=6       m=-4.000
221  gem_glass64_J-92_1.dat  key=-94.0  Fr=9.0     N=3       m=-2.000
222  gem_glass64_J-92_2.dat  key=-94.0  Fr=9.0     N=4       m=-4.000
223  gem_glass64_J-92_4.dat  key=-96.0  Fr=8.0     N=4       m=-4.000
224  gem_glass64_J-92_9.dat  key=-94.0  Fr=9.0     N=5       m=-2.000
225  gem_glass64_J-94_5.dat  key=-96.0  Fr=8.0     N=5       m=-2.000
226  gem_glass64_J-96_1.dat  key=-98.0  Fr=7.0     N=5       m=-2.000
227  gem_glass64_J-96_7.dat  key=-98.0  Fr=7.0     N=6       m=-4.000
228  gem_glass64_J-98_5.dat  key=-100.0  Fr=6.0     N=5       m=-2.000
229  gem_glass64_J0_0.dat  key=-82.0  Fr=15.0    N=13      m=-4.000
230  gem_glass64_J0_1.dat  key=-76.0  Fr=18.0    N=21      m=-6.000
231  gem_glass64_J0_2.dat  key=-78.0  Fr=17.0    N=15      m=-6.000
232  gem_glass64_J0_3.dat  key=-82.0  Fr=15.0    N=21      m=-6.000
233  gem_glass64_J0_4.dat  key=-78.0  Fr=17.0    N=19      m=-10.000
234  gem_glass64_J0_5.dat  key=-76.0  Fr=18.0    N=15      m=-4.000
235  gem_glass64_J0_6.dat  key=-82.0  Fr=15.0    N=18      m=-10.000
236  gem_glass64_J0_7.dat  key=-82.0  Fr=15.0    N=15      m=-2.000
237  gem_glass64_J0_8.dat  key=-78.0  Fr=17.0    N=19      m=-8.000
238  gem_glass64_J100_2.dat  key=-100.0  Fr=6.0     N=4       m=-64.000
239  gem_glass64_J100_3.dat  key=-100.0  Fr=6.0     N=14      m=-62.000
240  gem_glass64_J100_5.dat  key=-100.0  Fr=6.0     N=4       m=-64.000
241  gem_glass64_J100_6.dat  key=-100.0  Fr=6.0     N=4       m=-64.000
242  gem_glass64_J100_7.dat  key=-100.0  Fr=6.0     N=8       m=-64.000
243  gem_glass64_J100_9.dat  key=-100.0  Fr=6.0     N=4       m=-64.000
244  gem_glass64_J102_0.dat  key=-102.0  Fr=5.0     N=4       m=-64.000
245  gem_glass64_J102_1.dat  key=-102.0  Fr=5.0     N=6       m=-64.000
246  gem_glass64_J102_2.dat  key=-102.0  Fr=5.0     N=4       m=-64.000
247  gem_glass64_J102_3.dat  key=-102.0  Fr=5.0     N=8       m=-64.000
