#H	log(g(EgsH))	g(EgsH)	EgsH
4.08	0	1	-261.12
4.09	0	1	-261.76
4.1	0	1	-262.4
4.11	0	1	-263.04
4.12	0	1	-263.68
4.13	0	1	-264.32
4.14	0	1	-264.96
4.15	0	1	-265.6
4.16	0	1	-266.24
4.17	0	1	-266.88
4.18	0	1	-267.52
4.19	0	1	-268.16
4.2	0	1	-268.8
4.21	0	1	-269.44
4.22	0	1	-270.08
4.23	0	1	-270.72
4.24	0	1	-271.36
4.25	0	1	-272
4.26	0	1	-272.64
4.27	0	1	-273.28
4.28	0	1	-273.92
4.29	0	1	-274.56
4.3	0	1	-275.2
4.31	0	1	-275.84
4.32	0	1	-276.48
4.33	0	1	-277.12
4.34	0	1	-277.76
4.35	0	1	-278.4
4.36	0	1	-279.04
4.37	0	1	-279.68
4.38	0	1	-280.32
4.39	0	1	-280.96
4.4	0	1	-281.6
4.41	0	1	-282.24
4.42	0	1	-282.88
4.43	0	1	-283.52
4.44	0	1	-284.16
4.45	0	1	-284.8
4.46	0	1	-285.44
4.47	0	1	-286.08
4.48	0	1	-286.72
4.49	0	1	-287.36
4.5	0	1	-288
4.5	0	1	-288
4.51	0	1	-288.64
4.52	0	1	-289.28
4.53	0	1	-289.92
4.54	0	1	-290.56
4.55	0	1	-291.2
4.56	0	1	-291.84
4.57	0	1	-292.48
4.58	0	1	-293.12
4.59	0	1	-293.76
4.6	0	1	-294.4
4.61	0	1	-295.04
4.62	0	1	-295.68
4.63	0	1	-296.32
4.64	0	1	-296.96
4.65	0	1	-297.6
4.66	0	1	-298.24
4.67	0	1	-298.88
4.68	0	1	-299.52
4.69	0	1	-300.16
4.7	0	1	-300.8
4.71	0	1	-301.44
4.72	0	1	-302.08
4.73	0	1	-302.72
4.74	0	1	-303.36
4.75	0	1	-304
4.76	0	1	-304.64
4.77	0	1	-305.28
4.78	0	1	-305.92
4.79	0	1	-306.56
4.8	0	1	-307.2
4.81	0	1	-307.84
4.82	0	1	-308.48
4.83	0	1	-309.12
4.84	0	1	-309.76
4.85	0	1	-310.4
4.86	0	1	-311.04
4.87	0	1	-311.68
4.88	0	1	-312.32
4.89	0	1	-312.96
4.9	0	1	-313.6
4.91	0	1	-314.24
4.92	0	1	-314.88
4.93	0	1	-315.52
4.94	0	1	-316.16
4.95	0	1	-316.8
4.96	0	1	-317.44
4.97	0	1	-318.08
4.98	0	1	-318.72
4.99	0	1	-319.36
5	0	1	-320
